transaction_id,account_id,typology
TXN_273B308AB3,ACC_D09BFA56FB,structuring
TXN_A8DF432A11,ACC_D09BFA56FB,structuring
TXN_EC70D81B36,ACC_D09BFA56FB,structuring
TXN_11DD1C15A1,ACC_BCC9D8B1E9,structuring
TXN_376040193B,ACC_BCC9D8B1E9,structuring
TXN_52BB431C65,ACC_BCC9D8B1E9,structuring
TXN_0745A91364,ACC_BCC9D8B1E9,structuring
TXN_191BCD69C6,ACC_BCC9D8B1E9,structuring
TXN_6CBBB9966D,ACC_BCC9D8B1E9,structuring
TXN_C098C05931,ACC_BCC9D8B1E9,structuring
TXN_9B32EBA749,ACC_95D42FE8CC,structuring
TXN_7631832646,ACC_95D42FE8CC,structuring
TXN_E8223A22BF,ACC_95D42FE8CC,structuring
TXN_5E3765126A,ACC_95D42FE8CC,structuring
TXN_31FE96FB45,ACC_95D42FE8CC,structuring
TXN_35F6E41FBB,ACC_95D42FE8CC,structuring
TXN_A94D653998,ACC_BA942A4936,structuring
TXN_A5EB6AFB77,ACC_BA942A4936,structuring
TXN_93F197387B,ACC_BA942A4936,structuring
TXN_29EF944D65,ACC_5DE4B78040,structuring
TXN_C11DBEB38D,ACC_5DE4B78040,structuring
TXN_21AA1962E4,ACC_5DE4B78040,structuring
TXN_118AA718C4,ACC_5DE4B78040,structuring
TXN_7773DA40F1,ACC_5DE4B78040,structuring
TXN_B7A9746BC2,ACC_5DE4B78040,structuring
TXN_A33BCD2DBB,ACC_5DE4B78040,structuring
TXN_C0636AF54E,ACC_2997DDF1E3,structuring
TXN_AAABD95F05,ACC_2997DDF1E3,structuring
TXN_401EF03F6E,ACC_2997DDF1E3,structuring
TXN_73A5A3D3BC,ACC_2997DDF1E3,structuring
TXN_93A62A790D,ACC_2997DDF1E3,structuring
TXN_187BE534A7,ACC_10453ECA90,structuring
TXN_8E6854C6AF,ACC_10453ECA90,structuring
TXN_EC1288477A,ACC_10453ECA90,structuring
TXN_BBDCD9F65D,ACC_C00326EF61,structuring
TXN_180171A2C8,ACC_C00326EF61,structuring
